,train_score,sparsity_sc,sparsity_sp,sparsity_diff
gstm1,0.8614027,0.707010185739964,0.16975308641975306,-0.5372570993202109
dync1i1,0.8612918,0.06314236991289124,0.17592592592592593,0.11278355601303469
tyro3,0.86113846,0.39885698483661336,0.1728395061728395,-0.22601747866377386
htra1,0.8600341,0.5701709913812969,0.18827160493827155,-0.38189938644302535
lgmn,0.8599423,0.05959349218786003,0.16049382716049387,0.10090033497263384
atp1b2,0.8597327,0.16822602203069548,0.16975308641975306,0.0015270643890575863
rprml,0.8596309,0.4027745771304788,0.191358024691358,-0.21141655243912083
ttyh2,0.85957557,0.9479190671521408,0.6697530864197531,-0.27816598073238774
abat,0.8587277,0.2551043923123012,0.19753086419753085,-0.057573528114770345
atf4,0.85845274,0.0288980043323962,0.19753086419753085,0.16863285986513465
c1qa,0.85798055,0.9836843803290778,0.3364197530864198,-0.647264627242658
car2,0.8576002,0.7287182559800894,0.15123456790123457,-0.5774836880788549
mlc1,0.8572838,0.959303129464903,0.308641975308642,-0.650661154156261
des,0.8566848,0.9860810250265014,0.9845679012345679,-0.0015131237919334684
